Alma Library Code,Alma Partner Code,Institution,LibraryName,Address1,City,State,Zip,HUB,SYMBOL
ADI,SUNYADI,SUNY Adirondack,Library-Scoville Learning Center,640 Bay Road,Queensbury,NY,12804,ALB,VJK
ALB,SUNYALBANY,University Albany,University Libraries,1400 Washington Ave,Albany,NY,12222,ALB,NAM
ALF,SUNYALF,SUNY College of Technology at Alfred,Hinkle Memorial Library,10 Upper College Drive,Alfred,NY,14802-1193,ROC,ZAM
AUA,SUNYAUA,Alfred University,Herrick Library,1 Saxon Drive ,Alfred,NY,14802-1297,ROC,YDM
BCC,SUNYBCC,Broome Community College,Learning Resources Center,PO Box 1017,Binghamton,NY,13902,BNG,YSY
BIN,SUNYBIN,"Binghamton University, SUNY",Libraries,P.O. Box 6012,Binghamton,NY,13902-6012,BNG,BNG
BRH,SUNYBRH,SUNY Downstate Medical Center,Medical Reseach Library of Brooklyn,450 Clarkson Avenue-Box 14,Brooklyn,NY,11203,NYC,VVD
BRO,SUNYBRO,SUNY College at Brockport,Drake Memorial Library,350 New Campus Drive,Brockport,NY,14420,ROC,XBM
BSC,SUNYBSC,Buffalo State College,E.H. Butler Library,1300 Elmwood Ave,Buffalo,NY,14222-1095,BUF,YBM
BUF,SUNYBUF,University at Buffalo,Libraries Annex,3850 Rensch Road,Amherst,NY,14228-2712,BUF,BUF
CAN,SUNYCAN,SUNY College of Technology at Canton,Southworth Library,Cornell Drive,Canton,NY,13617,SYR,ZCM
CAY,SUNYCAY,Cayuga County Community College,Library,197 Franklin Street,Auburn,NY,13021,SYR,ZZY
CER,SUNYCER,Alfred University Ceramics,Scholes Library,2 Pine Street,Alfred,NY,14802-1297,ROC,YDM
CLI,SUNYCLI,Clinton Community College,Leroy M. Douglas Sr. Library,136 Clinton Point Drive,Plattsburgh,NY,12901,ALB,YLC
CNG,SUNYCNG,Corning Community College,Arthur A. Houghton Jr. Library,1 Academic Dr.,Corning,NY,14830,SYR,ZDG
COB,SUNYCOB,SUNY College of Agriculture and Technology at Cobleskill,Jared Van Wagnen Jr. Library,142 Schenectady Avenue,Cobleskill,NY,12043,ALB,WKM
COL,SUNYCOL,Columbia-Greene Community College,Library,4400 Route 23,Hudson,NY,12534,ALB,VDH
COR,SUNYCOR,SUNY College at Cortland,Memorial Library,PO Box 2000,Cortland,NY,13045,SYR,YCM
DEL,SUNYDEL,SUNY College of Technology at Delhi,Resnick Library,2 Main Street,Delhi,NY,13753,BNG,XDM
DUT,SUNYDUT,Dutchess Community College,Francis U. and Mary F. Ritz Library,53 Pendell Road,Poughkeepsie,NY,12601-1595,NEW,VDN
ERI,SUNYERI,Erie Community College North,R. R. Dry Memorial Library,6205 Main Street,Williamsville,NY,14221-7095,BUF,YJL
ESF,SUNYESF,SUNY College of Environmental Science & Forestry,F. Franklin Moon Library,1 Forestry Drive,Syracuse,NY,13210-2778,SYR,VXF
FAR,SUNYFAR,Farmingdale State,Greenley Library,2350 Broadhollow Road,Farmingdale,NY,11735,NYC,YFM
FIN,SUNYFIN,Finger Lakes Community College,Charles J. Meder Library,3325 Marvin Sands Drive,Canandaigua,NY,14424-8395,ROC,ZFM
FIT,SUNYFIT,Fashion Institute of Technology,Gladys Marcus Library,7th Ave at 27th St  E-Bldg,New York,NY,10001-5992,NYC,UVV
FRE,SUNYFRE,SUNY College at Fredonia,Reed Library,,Fredonia,NY,14063,BUF,XFM
FUL,SUNYFUL,Fulton-Montgomery Community College,The Evans Library,2805 State Highway 67,Johnstown,NY,12095-3790,ALB,YJM
GCC,SUNYGCC,Genesee Community College,Alfred C. O'Connell Library,1 College Road,Batavia,NY,14020-9704,BUF,YJA
GEN,SUNYGEN,SUNY College at Geneseo,Milne Library,1 College Circle,Geneseo,NY,14454-1498,ROC,YGM
HER,SUNYHER,Herkimer County Community College,Library,100 Reservoir Rd.,Herkimer,NY,13350,SYR,VXH
HVC,SUNYHVC,Hudson Valley Community College,Dwight Marvin Library,80 Vandenburgh Avenue,Troy,NY,12180,ALB,VXV
INS,SUNYINS,"Polytechnic Institute, SUNY",Peter J. Cayan Library,100 Seymour Road,Utica,NY,13502,SYR,YTM
JAM,SUNYJAMCA,Jamestown Community College,Hultquist Library,525 Falconer Street,Jamestown,NY,14702-0020,BUF,YKJ
JAM,SUNYJAMMN,Jamestown Community College,Hultquist Library,525 Falconer Street,Jamestown,NY,14702-0020,BUF,YKJ
JEF,SUNYJEF,Jefferson Community College,Library,1220 Coffeen St. ,Watertown,NY,13601,SYR,VND
